Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,8,0.0900000036,1.0816895962,0.09,-2.755,3.4013,4.705,0,0,0.545,0,0,0,0,0,-1,-3.31E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,11.658,13.705,16.472,12.229
0.0152,0.01508,8,0.0931723565,1.1114013195,0.093,-2.73,3.4048,4.708,0,0,0.545,0,0,0,0,0,-1,-3.44E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,11.594,13.642,16.41,12.165
0.0152,0.01508,8,0.1000000015,1.1711064577,0.1,-2.675,3.4126,4.715,0,0,0.545,0,0,0,0,0,-1,-3.73E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,11.457,13.504,16.274,12.028
0.0152,0.01508,8,0.1009420455,1.1789277792,0.101,-2.668,3.4135,4.716,0,0,0.545,0,0,0,0,0,-1,-3.77E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,11.441,13.488,16.258,12.011
0.0152,0.01508,8,0.1116045266,1.2613248825,0.112,-2.593,3.4232,4.724,0,0,0.545,0,0,0,0,0,-1,-4.22E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,11.254,13.216,15.878,11.759
0.0152,0.01508,8,0.1200000122,1.3193155527,0.12,-2.538,3.431,4.731,0,0,0.545,0,0,0,0,0,-1,-4.58E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,11.116,12.964,15.483,11.533
0.0152,0.01508,8,0.1400000006,1.4384527206,0.14,-2.432,3.4434,4.741,0,0,0.545,0,0,0,0,0,-1,-5.36E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,10.849,12.537,14.864,11.144
0.0152,0.01508,8,0.142202422,1.450212121,0.142,-2.421,3.4447,4.742,0,0,0.545,0,0,0,0,0,-1,-5.44E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,10.822,12.494,14.802,11.105
0.0152,0.01508,8,0.1599999964,1.5372931957,0.16,-2.338,3.4543,4.75,0,0,0.545,0,0,0,0,0,-1,-6.16E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,10.616,12.167,14.325,10.809
0.0152,0.01508,8,0.200000003,1.6938791275,0.2,-2.186,3.4712,4.761,0,0,0.545,0,0,0,0,0,-1,-7.72E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,10.234,11.588,13.5,10.284
0.0152,0.01508,8,0.2232969105,1.7674176693,0.223,-2.112,3.4788,4.766,0,0,0.545,0,0,0,0,0,-1,-8.62E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,10.049,11.32,13.131,10.041
0.0152,0.01508,8,0.25,1.8403258324,0.25,-2.035,3.4867,4.77,0,0,0.545,0,0,0,0,0,-1,-9.68E-16,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,9.858,11.043,12.748,9.792
0.0152,0.01508,8,0.2923896313,1.9374169111,0.292,-1.928,3.4967,4.771,0,0,0.545,0,0,0,0,0,-1,-1.14E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,9.59,10.68,12.27,9.461
0.0152,0.01508,8,0.3000000119,1.9529139996,0.3,-1.91,3.4984,4.771,0,0,0.545,0,0,0,0,0,-1,-1.18E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,9.546,10.621,12.194,9.407
0.0152,0.01508,8,0.3500000238,2.0434176922,0.35,-1.796,3.5087,4.765,0,0,0.545,0,0,0,0,0,-1,-1.43E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,9.26,10.25,11.724,9.067
0.0152,0.01508,8,0.4000000358,2.1185026169,0.4,-1.681,3.5194,4.75,0,0,0.545,0,0,0,0,0,-1,-1.77E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.972,9.879,11.259,8.727
0.0152,0.01508,8,0.4500000477,2.1822810173,0.45,-1.558,3.5314,4.727,0,0,0.545,0,0,0,0,0,-1,-2.26E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.666,9.488,10.773,8.371
0.0152,0.01508,8,0.5,2.2374541759,0.5,-1.421,3.5474,4.699,0,0,0.545,0,0,0,0,0,-1,-3.02E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.322,9.041,10.216,7.969
0.0152,0.01508,8,0.5251325369,2.2619433403,0.525,-1.332,3.5602,4.683,0,0,0.545,0,0,0,0,0,-1,-3.68E-15,0,0.7092,0.2755,0.002746,0.0007407,0.006718,-1,0.01527,8.099,8.738,9.831,7.702
0.0152,0.01508,8,0.5500000119,2.2836582661,0.55,-1.247,3.5722,4.666,0,0,0.545,0,0,0,0,0,-1,-4.45E-15,0,0.7092,0.2755,0.002745,0.0007406,0.006717,-1,0.01527,7.888,8.452,9.472,7.453
0.0152,0.01508,8,0.5576420426,2.2898859978,0.557,-1.217,3.5774,4.663,0,0,0.545,0,0,0,0,0,-1,-4.75E-15,0,0.7092,0.2755,0.002745,0.0007406,0.006717,-1,0.01527,7.814,8.346,9.337,7.362
0.0152,0.01508,8,0.6000000238,2.3211214542,0.6,-1.072,3.604,4.656,0,0,0.545,0,0,0,0,0,-1,-6.49E-15,0,0.7092,0.2755,0.002745,0.0007405,0.006716,-1,0.01527,7.449,7.841,8.7,6.93
0.0152,0.01508,8,0.6227192879,2.3358762264,0.623,-1,3.6205,4.666,0,0,0.545,0,0,0,0,0,-1,-7.45E-15,0,0.7093,0.2754,0.002745,0.0007405,0.006716,-1,0.01527,7.27,7.581,8.368,6.714
0.0152,0.01508,8,0.6450505853,2.3492202759,0.645,-0.959,3.6293,4.676,0,0,0.545,0,0,0,0,0,-1,-7.97E-15,0,0.7093,0.2754,0.002744,0.0007405,0.006715,-1,0.01527,7.167,7.435,8.183,6.593
0.0152,0.01508,8,0.6499999762,2.3520355225,0.65,-0.952,3.6305,4.677,0,0,0.545,0,0,0,0,0,-1,-8.06E-15,0,0.7093,0.2754,0.002744,0.0007404,0.006715,-1,0.01526,7.149,7.411,8.154,6.572
0.0152,0.01508,8,0.6611356735,2.3581924438,0.661,-0.937,3.6333,4.68,0,0,0.545,0,0,0,0,0,-1,-8.24E-15,0,0.7093,0.2754,0.002744,0.0007404,0.006715,-1,0.01525,7.111,7.36,8.09,6.529
0.0152,0.01508,8,0.7000000477,2.3779268265,0.7,-0.845,3.6489,4.676,0,0,0.545,0,0,0,0,0,-1,-9.92E-15,0,0.7094,0.2754,0.002744,0.0007403,0.006715,-1,0.01527,6.883,7.057,7.718,6.272
0.0152,0.01508,8,0.7470761538,2.3986976147,0.747,-0.711,3.6738,4.67,0,0,0.538,0,0,0,0,0,-1,-1.31E-14,0,0.7094,0.2754,0.00271,0.0007393,0.006714,-1,0.01522,6.548,6.613,7.179,5.9
0.0152,0.01508,8,0.75,2.3998889923,0.75,-0.703,3.6753,4.669,0,0,0.538,0,0,0,0,0,-1,-1.33E-14,0,0.7094,0.2754,0.002707,0.0007392,0.006714,-1,0.01521,6.527,6.587,7.148,5.877
