Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,5,0.0900000036,1.0816895962,0.09,-0.764,3.4511,2.913,0,0,0.545,0,0,0,0,0,-1,-2.56E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.679,8.388,10.462,7.025
0.0152,0.01508,5,0.1000000015,1.1711064577,0.1,-0.688,3.4553,2.899,0,0,0.545,0,0,0,0,0,-1,-2.93E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.491,8.175,10.223,6.818
0.0152,0.01508,5,0.1067722067,1.2253091335,0.107,-0.644,3.4585,2.896,0,0,0.545,0,0,0,0,0,-1,-3.15E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.38,8.043,10.071,6.692
0.0152,0.01508,5,0.1233605742,1.3410689831,0.123,-0.542,3.466,2.887,0,0,0.545,0,0,0,0,0,-1,-3.75E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.124,7.745,9.73,6.405
0.0152,0.01508,5,0.136437282,1.4189119339,0.136,-0.471,3.4727,2.887,0,0,0.545,0,0,0,0,0,-1,-4.19E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.947,7.531,9.48,6.201
0.0152,0.01508,5,0.143272385,1.4558397532,0.143,-0.437,3.4764,2.889,0,0,0.545,0,0,0,0,0,-1,-4.41E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.864,7.428,9.358,6.103
0.0152,0.01508,5,0.1551610827,1.5149108171,0.155,-0.382,3.483,2.894,0,0,0.545,0,0,0,0,0,-1,-4.79E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.724,7.256,9.152,5.94
0.0152,0.01508,5,0.162573278,1.5488405228,0.163,-0.349,3.4871,2.898,0,0,0.545,0,0,0,0,0,-1,-5.02E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.642,7.154,9.03,5.844
0.0152,0.01508,5,0.1747228056,1.6003189087,0.175,-0.298,3.4939,2.906,0,0,0.545,0,0,0,0,0,-1,-5.39E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.515,6.993,8.835,5.694
0.0152,0.01508,5,0.1877826303,1.6507047415,0.188,-0.244,3.5013,2.913,0,0,0.545,0,0,0,0,0,-1,-5.84E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.381,6.82,8.624,5.532
0.0152,0.01508,5,0.2110983282,1.7302274704,0.211,-0.155,3.5135,2.923,0,0,0.545,0,0,0,0,0,-1,-6.69E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.157,6.522,8.249,5.258
0.0152,0.01508,5,0.2282428592,1.7817517519,0.228,-0.098,3.5216,2.933,0,0,0.545,0,0,0,0,0,-1,-7.25E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.015,6.325,7.992,5.079
0.0152,0.01508,5,0.2466103733,1.8316454887,0.247,-0.039,3.5299,2.94,0,0,0.545,0,0,0,0,0,-1,-7.93E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.867,6.112,7.711,4.887
0.0152,0.01508,5,0.2724891901,1.8942860365,0.272,0.04,3.5412,2.95,0,0,0.545,0,0,0,0,0,-1,-8.95E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.669,5.792,7.259,4.612
0.0152,0.01508,5,0.2994569838,1.9518252611,0.299,0.114,3.5519,2.959,0,0,0.545,0,0,0,0,0,-1,-1E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.484,5.481,6.815,4.35
0.0152,0.01508,5,0.3000000119,1.9529139996,0.3,0.116,3.5521,2.959,0,0,0.545,0,0,0,0,0,-1,-1E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.48,5.475,6.807,4.345
0.0152,0.01508,5,0.3163242936,1.9844955206,0.316,0.158,3.5578,2.963,0,0,0.545,0,0,0,0,0,-1,-1.07E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.375,5.3,6.562,4.198
0.0152,0.01508,5,0.3500000238,2.0434176922,0.35,0.237,3.5688,2.973,0,0,0.545,0,0,0,0,0,-1,-1.21E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.179,4.978,6.113,3.931
0.0152,0.01508,5,0.3837943673,2.0955677032,0.384,0.312,3.5783,2.975,0,0,0.545,0,0,0,0,0,-1,-1.37E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,3.989,4.689,5.73,3.686
0.0152,0.01508,5,0.4000000358,2.1185026169,0.4,0.344,3.5825,2.978,0,0,0.545,0,0,0,0,0,-1,-1.44E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,3.91,4.566,5.569,3.582
0.0152,0.01508,5,0.4235594273,2.1497731209,0.423,0.391,3.588,2.978,0,0,0.545,0,0,0,0,0,-1,-1.56E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,3.793,4.393,5.349,3.434
0.0152,0.01508,5,0.4500000477,2.1822810173,0.45,0.442,3.5937,2.976,0,0,0.545,0,0,0,0,0,-1,-1.7E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,3.665,4.209,5.121,3.275
0.0152,0.01508,5,0.5,2.2374541759,0.5,0.523,3.6031,2.978,0,0,0.545,0,0,0,0,0,-1,-1.95E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,3.462,3.924,4.769,3.026
0.0152,0.01508,5,0.5367204547,2.2723500729,0.536,0.582,3.6088,2.973,0,0,0.545,0,0,0,0,0,-1,-2.16E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,3.315,3.729,4.538,2.852
0.0152,0.01508,5,0.5500000119,2.2836582661,0.55,0.601,3.6109,2.972,0,0,0.545,0,0,0,0,0,-1,-2.23E-12,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,3.266,3.664,4.461,2.795
