Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,5.0,0.8000000119,2.4187245369,0.8,0.921,3.6392,2.929,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-4.06e-12,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,2.468,2.683,3.337,1.902
0.0152,0.01508,5.69897,0.8000000119,2.4187245369,0.8,0.422,3.6437,3.445,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-7.13e-13,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,3.714,3.907,4.551,3.134
0.00015547,-2.0,6.0,0.8000000119,2.4187245369,0.8,0.29,3.7211,3.887,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-3.16e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,4.044,,,
0.00015547,-2.0,6.17609,0.7998623252,2.4186763763,0.8,0.159,3.7198,4.013,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-2.02e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,4.374,,,
0.00015547,-2.0,6.17609,0.8000000119,2.4187245369,0.8,0.159,3.7198,4.013,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-2.02e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,4.373,,,
0.00015547,-2.0,6.30103,0.8000000119,2.4187245369,0.8,0.073,3.7189,4.095,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.51e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,4.587,,,
0.00015547,-2.0,6.47712,0.8000000119,2.4187245369,0.8,-0.036,3.7188,4.204,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.03e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,4.86,,,
0.00015547,-2.0,6.69897,0.8000000119,2.4187245369,0.8,-0.132,3.7237,4.32,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-7.25e-14,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,5.1,,,
0.00015547,-2.0,7.0,0.8000000119,2.4187245369,0.8,-0.115,3.754,4.423,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-6.62e-14,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,5.057,,,
0.00015547,-2.0,7.47712,0.8000000119,2.4187245369,0.8,-0.206,3.7967,4.686,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-3.99e-14,0.0,0.751,0.2488,2.902e-05,7.923e-06,7.196e-05,-1.0,0.0001636,5.286,,,
0.00015547,-2.0,8.0,0.8000000119,2.4187245369,0.8,-0.202,3.7961,4.68,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-4.03e-14,0.0,0.7522,0.2477,2.89e-05,7.89e-06,7.167e-05,-1.0,0.0001637,5.276,,,
0.00015547,-2.0,8.47712,0.8000000119,2.4187245369,0.8,-0.193,3.7962,4.67,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-4.16e-14,0.0,0.7555,0.2444,2.856e-05,7.799e-06,7.085e-05,-1.0,0.0001637,5.251,,,
