Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,6.69897,0.0951665044,1.1294131279,0.095,-1.778,3.4083,3.78,0,0,0.545,0,0,0,0,0,-1,-8.79E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,9.216,11.242,13.76,9.795
0.0152,0.01508,6.69897,0.0990788862,1.1633656025,0.099,-1.762,3.4099,3.788,0,0,0.545,0,0,0,0,0,-1,-8.89E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,9.175,11.2,13.72,9.753
0.0152,0.01508,6.69897,0.1031958088,1.1972607374,0.103,-1.739,3.4124,3.792,0,0,0.545,0,0,0,0,0,-1,-9.17E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,9.117,11.143,13.663,9.695
0.0152,0.01508,6.69897,0.1125131696,1.267870903,0.112,-1.691,3.4172,3.801,0,0,0.545,0,0,0,0,0,-1,-9.7E-15,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.998,11.007,13.511,9.563
0.0152,0.01508,6.69897,0.1258938164,1.3569639921,0.126,-1.636,3.4229,3.817,0,0,0.545,0,0,0,0,0,-1,-1.02E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.86,10.807,13.247,9.376
0.0152,0.01508,6.69897,0.1347586662,1.4094737768,0.135,-1.598,3.4268,3.825,0,0,0.545,0,0,0,0,0,-1,-1.07E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.766,10.658,13.038,9.239
0.0152,0.01508,6.69897,0.1476062685,1.4780881405,0.148,-1.547,3.4325,3.836,0,0,0.545,0,0,0,0,0,-1,-1.13E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.637,10.451,12.749,9.05
0.0152,0.01508,6.69897,0.1567201465,1.5222202539,0.157,-1.514,3.4362,3.844,0,0,0.545,0,0,0,0,0,-1,-1.18E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.554,10.322,12.573,8.931
0.0152,0.01508,6.69897,0.1694417149,1.5785329342,0.169,-1.461,3.4428,3.851,0,0,0.545,0,0,0,0,0,-1,-1.27E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.423,10.11,12.278,8.737
0.0152,0.01508,6.69897,0.1817221195,1.6279085875,0.182,-1.416,3.4482,3.858,0,0,0.545,0,0,0,0,0,-1,-1.35E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.309,9.932,12.034,8.574
0.0152,0.01508,6.69897,0.1963359565,1.6812987328,0.196,-1.374,3.4525,3.867,0,0,0.545,0,0,0,0,0,-1,-1.41E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.206,9.778,11.826,8.433
0.0152,0.01508,6.69897,0.2135923505,1.7380547523,0.214,-1.322,3.4589,3.877,0,0,0.545,0,0,0,0,0,-1,-1.51E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.075,9.574,11.543,8.247
0.0152,0.01508,6.69897,0.2313415259,1.7905279398,0.231,-1.272,3.4648,3.886,0,0,0.545,0,0,0,0,0,-1,-1.61E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.95,9.39,11.297,8.079
0.0152,0.01508,6.69897,0.2493823618,1.8387556076,0.249,-1.232,3.4693,3.896,0,0,0.545,0,0,0,0,0,-1,-1.68E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.85,9.246,11.107,7.946
0.0152,0.01508,6.69897,0.2689957321,1.8862913847,0.269,-1.183,3.4756,3.905,0,0,0.545,0,0,0,0,0,-1,-1.79E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.728,9.066,10.865,7.782
0.0152,0.01508,6.69897,0.2957793474,1.944383502,0.296,-1.124,3.4829,3.917,0,0,0.545,0,0,0,0,0,-1,-1.93E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.581,8.851,10.578,7.588
0.0152,0.01508,6.69897,0.3000000119,1.9529139996,0.3,-1.116,3.4839,3.919,0,0,0.545,0,0,0,0,0,-1,-1.95E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.56,8.822,10.538,7.561
