Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.00015547,-2.0,6.47712,0.2029034346,1.7036371231,0.203,-0.964,3.5997,4.06,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.86e-14,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,7.181,,,
0.00015547,-2.0,7.0,0.2029198259,1.703691721,0.203,-1.328,3.6064,4.451,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.9e-15,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,8.091,,,
0.00015547,-2.0,7.47712,0.2029198259,1.703691721,0.203,-1.645,3.6118,4.789,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.58e-15,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,8.883,,,
0.00015547,-2.0,8.0,0.2029198259,1.703691721,0.203,-1.933,3.6152,5.091,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.34e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,9.603,,,
0.00015547,-2.0,8.0,0.2032262236,1.704710722,0.203,-1.932,3.6153,5.09,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.36e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,9.6,,,
0.00015547,-2.0,8.47712,0.2029198259,1.703691721,0.203,-1.991,3.6157,5.15,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.59e-16,0.0,0.7505,0.2493,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,9.748,,,
