Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,5.0,1.0,2.4729156494,1.0,1.092,3.6498,2.897,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-5.6e-12,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,2.039,2.201,2.814,1.45
0.0152,0.01508,5.69897,1.0,2.4729156494,1.0,0.567,3.6597,3.462,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-8.73e-13,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,3.352,3.471,4.054,2.742
0.00015547,-2.0,6.0,1.0,2.4729156494,1.0,0.442,3.7326,3.878,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-4.05e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,3.664,,,
0.00015547,-2.0,6.17609,1.0,2.4729156494,1.0,0.331,3.734,3.995,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-2.75e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001637,3.942,,,
0.00015547,-2.0,6.30103,1.0,2.4729156494,1.0,0.269,3.7362,4.066,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-2.19e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,4.099,,,
0.00015547,-2.0,6.47712,1.0,2.4729156494,1.0,0.211,3.7432,4.152,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.73e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001637,4.243,,,
0.00015547,-2.0,6.69897,1.0,2.4729156494,1.0,0.262,3.7675,4.198,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.82e-13,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001637,4.116,,,
0.00015547,-2.0,7.0,1.0,2.4729156494,1.0,0.411,3.8482,4.372,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-2.12e-13,0.0,0.7508,0.249,2.903e-05,7.929e-06,7.201e-05,-1.0,0.0001636,3.742,,,
0.00015547,-2.0,7.47712,1.0,2.4729156494,1.0,0.241,3.8572,4.578,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.13e-13,0.0,0.7511,0.2487,2.901e-05,7.92e-06,7.194e-05,-1.0,0.0001629,4.168,,,
0.00015547,-2.0,8.0,1.0,2.4729156494,1.0,0.246,3.8574,4.573,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.15e-13,0.0,0.7523,0.2476,2.89e-05,7.892e-06,7.168e-05,-1.0,0.0001578,4.154,,,
0.00015547,-2.0,8.47712,1.0,2.4729156494,1.0,0.261,3.8582,4.562,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.2e-13,0.0,0.7555,0.2444,2.859e-05,7.81e-06,7.096e-05,-1.0,0.0001377,4.117,,,
