Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,5.0,2.0,2.5685424805,2.0,1.57,3.6754,2.823,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,0.845,0.905,1.435,0.219
0.0152,0.01508,5.69897,2.0,2.5685424805,2.0,1.016,3.6998,3.474,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,2.229,2.215,2.68,1.584
0.00015547,-2.0,6.0,2.0,2.5685424805,2.0,1.508,3.8268,3.49,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001637,0.999,,,
0.00015547,-2.0,6.17609,2.0,2.5685424805,2.0,1.608,3.9693,3.961,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,0.75,,,
0.00015547,-2.0,6.30103,2.0,2.5685424805,2.0,1.641,4.0682,4.323,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,0.667,,,
0.00015547,-2.0,6.47712,2.0,2.5685424805,2.0,1.554,4.1305,4.659,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7508,0.249,2.904e-05,7.929e-06,7.201e-05,-1.0,0.0001636,0.886,,,
0.00015547,-2.0,6.69897,2.0,2.5685424805,2.0,1.479,4.1257,4.714,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7509,0.249,2.903e-05,7.927e-06,7.201e-05,-1.0,0.0001636,1.072,,,
0.00015547,-2.0,7.0,2.0,2.5685424805,2.0,1.481,4.1257,4.713,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2489,2.902e-05,7.924e-06,7.198e-05,-1.0,0.0001636,1.067,,,
0.00015547,-2.0,7.47712,2.0,2.5685424805,2.0,1.489,4.1259,4.706,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7515,0.2483,2.897e-05,7.911e-06,7.186e-05,-1.0,0.0001637,1.048,,,
0.00015547,-2.0,8.0,2.0,2.5685424805,2.0,1.516,4.1278,4.686,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7533,0.2465,2.88e-05,7.866e-06,7.146e-05,-1.0,0.0001638,0.98,,,
0.00015547,-2.0,8.47712,2.0,2.5685424805,2.0,1.613,4.1357,4.621,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7582,0.2416,2.835e-05,7.747e-06,7.039e-05,-1.0,0.0001637,0.737,,,
