Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.00015547,-2,8.47712,0.3739081025,2.0809485912,0.374,-1.465,3.6469,5.015,0,0,0.545,0,0,0,0,0,-1,-2.19E-15,0,0.7506,0.2492,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,8.432,10.488,9.969,8.965,8.286,7.705,6.966,6.449,6.294
0.00015547,-2,8.47712,0.4016221166,2.1207315922,0.401,-1.394,3.6518,4.994,0,0,0.545,0,0,0,0,0,-1,-2.55E-15,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001636,8.254,10.22,9.741,8.759,8.097,7.527,6.802,6.291,6.139
0.00015547,-2,8.47712,0.4512977004,2.1838121414,0.451,-1.25,3.6641,4.951,0,0,0.545,0,0,0,0,0,-1,-3.52E-15,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001636,7.895,9.64,9.263,8.333,7.713,7.171,6.481,5.984,5.844
0.00015547,-2,8.47712,0.4726141691,2.2081739902,0.472,-1.181,3.6706,4.928,0,0,0.545,0,0,0,0,0,-1,-4.14E-15,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001636,7.722,9.352,9.03,8.128,7.529,7,6.329,5.841,5.707
0.00015547,-2,8.47712,0.5009732842,2.2384552956,0.501,-1.096,3.6793,4.903,0,0,0.545,0,0,0,0,0,-1,-5.03E-15,0,0.7507,0.2491,2.943E-05,7.939E-06,7.2E-05,-1,0.0001636,7.511,8.995,8.744,7.877,7.305,6.794,6.146,5.671,5.546
0.00015547,-2,8.47712,0.5506489277,2.2841949463,0.55,-0.939,3.6956,4.852,0,0,0.545,0,0,0,0,0,-1,-7.31E-15,0,0.7516,0.2483,2.934E-05,7.914E-06,7.178E-05,-1,0.0001574,7.117,8.344,8.219,7.419,6.891,6.412,5.81,5.362,5.251
0.00015547,-2,8.47712,0.6003244519,2.3213412762,0.6,-0.777,3.7156,4.807,0,0,0.545,0,0,0,0,0,-1,-1.07E-14,0,0.7519,0.248,2.93E-05,7.906E-06,7.171E-05,-1,0.0001637,6.712,7.666,7.674,6.953,6.474,6.031,5.482,5.067,4.971
0.00015547,-2,8.47712,0.6499999762,2.3520355225,0.65,-0.619,3.7365,4.767,0,0,0.545,0,0,0,0,0,-1,-1.55E-14,0,0.7524,0.2475,2.925E-05,7.894E-06,7.159E-05,-1,0.0001637,6.316,7.033,7.153,6.512,6.078,5.672,5.175,4.793,4.714
0.00015547,-2,8.47712,0.6999999881,2.3779268265,0.7,-0.467,3.7584,4.735,0,0,0.545,0,0,0,0,0,-1,-2.2E-14,0,0.7529,0.2469,2.919E-05,7.876E-06,7.143E-05,-1,0.0001637,5.937,6.455,6.663,6.102,5.714,5.345,4.898,4.544,4.483
0.00015547,-2,8.47712,0.75,2.3998889923,0.75,-0.325,3.7793,4.707,1,0,0.538,0,0,0,0,0,-1,-3.04E-14,0,0.7539,0.2459,2.871E-05,7.841E-06,7.122E-05,-1,0.0001637,5.581,5.96,6.224,5.733,5.385,5.049,4.645,4.317,4.274
0.00015547,-2,8.47712,0.8000000119,2.4187245369,0.8,-0.193,3.7962,4.67,1,0,0.537,0,0,0,0,0,-1,-4.16E-14,0,0.7555,0.2444,2.856E-05,7.799E-06,7.085E-05,-1,0.0001637,5.251,5.551,5.834,5.396,5.08,4.772,4.402,4.099,4.068
0.00015547,-2,8.47712,0.8500000238,2.4350347519,0.85,-0.07,3.8122,4.638,1,0,0.537,0,0,0,0,0,-1,-5.56E-14,0,0.7552,0.2446,2.862E-05,7.816E-06,7.101E-05,-1,0.0001636,4.945,5.194,5.474,5.083,4.796,4.515,4.179,3.902,3.881
0.00015547,-2,8.47712,0.8999999762,2.4492788315,0.899,0.049,3.8272,4.604,1,0,0.537,0,0,0,0,0,-1,-7.38E-14,0,0.7554,0.2444,2.86E-05,7.812E-06,7.097E-05,-1,0.0001637,4.647,4.868,5.131,4.776,4.515,4.257,3.957,3.709,3.694
0.00015547,-2,8.47712,0.9218627214,2.4549515247,0.921,0.098,3.8341,4.593,1,0,0.537,0,0,0,0,0,-1,-8.26E-14,0,0.7554,0.2444,2.86E-05,7.812E-06,7.097E-05,-1,0.0001637,4.526,4.738,4.988,4.649,4.399,4.154,3.869,3.635,3.622
