Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,5.0,3.0,2.5953342915,3.0,1.701,3.6947,2.945,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,0.518,0.518,0.996,-0.125
0.0152,0.01508,5.69897,3.0,2.5953342915,3.0,1.294,3.7202,3.454,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,1.534,1.473,1.89,0.887
0.00015547,-2.0,6.0,3.0,2.5953342915,3.0,2.275,4.2323,4.522,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.916,,,
0.00015547,-2.0,6.17609,3.0,2.5953342915,3.0,2.132,4.2574,4.764,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.561,,,
0.00015547,-2.0,6.30103,3.0,2.5953342915,3.0,2.117,4.2518,4.758,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001637,-0.522,,,
0.00015547,-2.0,6.47712,3.0,2.5953342915,3.0,2.118,4.2516,4.755,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001637,-0.525,,,
0.00015547,-2.0,6.69897,3.0,2.5953342915,3.0,2.121,4.2512,4.751,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.531,,,
0.00015547,-2.0,7.0,3.0,2.5953342915,3.0,2.126,4.2502,4.741,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.546,,,
0.00015547,-2.0,7.47712,3.0,2.5953342915,3.0,2.148,4.2506,4.721,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.601,,,
0.00015547,-2.0,8.0,3.0,2.5953342915,3.0,2.235,4.25,4.632,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.818,,,
